title,stanza,textblob,vader
Prayer_Breakfast_2016,0.099,0.178,1.0
Security_Team_Announcement,0.14,0.162,0.998
Cairo_University,-0.15,0.11,1.0
Umpqua_Community_College_Shootings,-0.25,0.061,-0.998
White_House_Correspondent_Dinner_2013,-0.012,0.145,1.0
Border_Security_and_Immigration_Reform,-0.177,0.145,0.999
Senate_Floor_Immigration_Reform,-0.118,0.086,0.998
Holocaust_Days_of_Remembrance,-0.075,0.102,0.99
UN_Copenhagen_Climate_Change,-0.09,0.14,1.0
People_of_Greece,-0.055,0.187,1.0
India_Speech_at_New_Delhi,0.086,0.208,1.0
Fixing_Immigration_Policy,-0.13,0.095,1.0
George_Mason_21st_Century_Economy,-0.286,0.117,0.999
Aurora_Tragedy,0.022,0.131,0.998
2004_DNC_Address,-0.018,0.153,1.0
NW_Flight_253_Update,-0.054,0.109,0.995
Boston_Marathon_Bombing_First_Statement,0.032,0.165,0.998
Flight_253_Terrorist_Attempt_Press_Statement,-0.113,0.161,0.995
Joint_Session_on_Economy_and_Jobs,-0.179,0.134,1.0
Announces_Candidacy,-0.053,0.15,1.0
Gun_Violence_Exec_Order_23,-0.233,0.139,-0.992
Barack_Obama_-_Jefferson-Jackson_Dinner,-0.305,0.106,0.989
Fort_Bonifacio,0.0,0.206,1.0
State_of_the_Union_2015,-0.112,0.158,1.0
USSC_Ruling_Affordable_Care_Act,-0.125,0.167,1.0
Senate_Vote_Background_Check,-0.27,0.06,-0.998
Comprehensive_Immigration_Reform,-0.144,0.076,1.0
Muammar_Qaddafi_Death,-0.083,0.151,0.998
Iraq_War_Responsibly_Ending,0.078,0.194,0.999
UNGA_2012,-0.199,0.062,1.0
MLK_Remembrance,-0.133,0.091,1.0
Sequester_Impact_Newport_News,-0.237,0.122,0.997
Afghanistan_Troop_Reduction,-0.101,0.106,0.998
Sandy_Hook_Elementary_School,-0.182,0.179,0.997
White_House_Correspondents_Dinner_2011,-0.109,0.152,0.999
Iran_Deal_American_University,-0.306,0.108,0.999
UNGA_68th_Session,-0.179,0.057,1.0
Weekly_Address_on_Cuba,0.107,0.165,0.999
Elena_Kagan_USSC_Nomination,0.277,0.268,1.0
Joe_Biden_Medal_of_Freedom,0.148,0.214,1.0
Chile_Latin_America,0.027,0.176,1.0
State_of_the_Nation_2009,-0.246,0.101,1.0
BRAIN_Initiative,-0.011,0.223,1.0
Iraq_War_After_4_Years,-0.164,0.158,-0.152
Carnegie_Mellon_Economy,-0.274,0.119,1.0
First_Presidential_Weekly_Address,-0.267,0.132,0.995
Global_Climate_Message,-0.128,0.166,0.998
American_Legion_Conference,-0.014,0.202,1.0
Community_College_Plan,0.0,0.181,1.0
Civil_Rights_Summit_LBJ,-0.076,0.117,1.0
State_of_the_Union_2011,-0.097,0.152,1.0
Rosa_Parks_Statue_Dedication,-0.17,-0.008,0.965
Burundi_People_Message,0.034,0.067,0.971
Buchenwald_Concentration_Camp,-0.148,0.079,0.99
South_Carolina_AME_Church_Shooting,-0.157,0.145,-0.872
State_of_the_Union_2013,-0.093,0.153,1.0
