Effect,id,topic,Estimate,StdErrPred,DF,tValue,Probt
Intercept,_,0,-0.01402,0.006370,49E3,-2.20,0.0277
Intercept,3,0,-0.01228,0.01720,49E3,-0.71,0.4751
Intercept,25,0,0.004860,0.01375,49E3,0.35,0.7238
Intercept,31,0,0.004499,0.01627,49E3,0.28,0.7821
Intercept,48,0,-0.00519,0.01441,49E3,-0.36,0.7185
Intercept,51,0,0.01784,0.01393,49E3,1.28,0.2003
Intercept,68,0,-0.02198,0.01338,49E3,-1.64,0.1003
Intercept,72,0,0.01402,0.01516,49E3,0.92,0.3552
Intercept,117,0,-0.00592,0.01379,49E3,-0.43,0.6675
Intercept,118,0,-0.00567,0.01796,49E3,-0.32,0.7525
Intercept,132,0,-0.00080,0.01647,49E3,-0.05,0.9614
Intercept,134,0,-0.00093,0.01172,49E3,-0.08,0.9370
Intercept,177,0,-0.01603,0.01437,49E3,-1.12,0.2647
Intercept,198,0,0.01177,0.01938,49E3,0.61,0.5437
Intercept,222,0,0.008535,0.01887,49E3,0.45,0.6510
Intercept,224,0,0.01178,0.01379,49E3,0.85,0.3930
Intercept,282,0,0.007342,0.01539,49E3,0.48,0.6333
Intercept,287,0,-0.00691,0.01926,49E3,-0.36,0.7196
Intercept,322,0,-0.02489,0.01372,49E3,-1.81,0.0696
Intercept,332,0,-0.02756,0.01810,49E3,-1.52,0.1279
Intercept,338,0,0.003150,0.01400,49E3,0.22,0.8220
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,1,-0.00467,0.006394,49E3,-0.73,0.4650
Intercept,44,1,0.002650,0.01572,49E3,0.17,0.8662
Intercept,54,1,-0.01665,0.01340,49E3,-1.24,0.2140
Intercept,82,1,-0.00979,0.01720,49E3,-0.57,0.5691
Intercept,89,1,-0.00750,0.01308,49E3,-0.57,0.5663
Intercept,173,1,0.02109,0.01122,49E3,1.88,0.0602
Intercept,188,1,0.01251,0.01744,49E3,0.72,0.4731
Intercept,192,1,-0.00343,0.01675,49E3,-0.21,0.8375
Intercept,200,1,0.001400,0.01129,49E3,0.12,0.9014
Intercept,209,1,0.01072,0.01179,49E3,0.91,0.3634
Intercept,210,1,0.003468,0.01234,49E3,0.28,0.7787
Intercept,214,1,-0.00050,0.01881,49E3,-0.03,0.9789
Intercept,229,1,-0.01147,0.01431,49E3,-0.80,0.4230
Intercept,240,1,0.000353,0.01287,49E3,0.03,0.9781
Intercept,288,1,0.02721,0.01201,49E3,2.27,0.0235
Intercept,291,1,-0.00928,0.01467,49E3,-0.63,0.5269
Intercept,313,1,-0.03558,0.01123,49E3,-3.17,0.0015
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,2,-0.01144,0.007611,49E3,-1.50,0.1327
Intercept,70,2,0.004339,0.01730,49E3,0.25,0.8020
Intercept,127,2,-0.03178,0.01356,49E3,-2.34,0.0191
Intercept,137,2,-0.00064,0.01605,49E3,-0.04,0.9683
Intercept,159,2,-0.02083,0.01440,49E3,-1.45,0.1481
Intercept,171,2,0.01534,0.01406,49E3,1.09,0.2754
Intercept,183,2,0.004571,0.01814,49E3,0.25,0.8011
Intercept,193,2,0.006450,0.01588,49E3,0.41,0.6846
Intercept,195,2,-0.00863,0.01257,49E3,-0.69,0.4921
