Effect,id,topic,Estimate,StdErrPred,DF,tValue,Probt
Intercept,_,0,-0.01360,0.007277,46E3,-1.87,0.0616
Intercept,3,0,-0.01185,0.01667,46E3,-0.71,0.4773
Intercept,25,0,0.001548,0.01364,46E3,0.11,0.9097
Intercept,51,0,0.01590,0.01378,46E3,1.15,0.2486
Intercept,72,0,0.01046,0.01489,46E3,0.70,0.4823
Intercept,132,0,0.002215,0.01607,46E3,0.14,0.8904
Intercept,134,0,-0.00246,0.01183,46E3,-0.21,0.8351
Intercept,177,0,-0.01616,0.01417,46E3,-1.14,0.2541
Intercept,224,0,0.007623,0.01369,46E3,0.56,0.5775
Intercept,282,0,0.007177,0.01508,46E3,0.48,0.6341
Intercept,322,0,-0.02461,0.01359,46E3,-1.81,0.0703
Intercept,332,0,-0.02464,0.01747,46E3,-1.41,0.1583
Intercept,338,0,0.001968,0.01385,46E3,0.14,0.8870
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
Intercept,_,_,0,0.02006,46E3,0.00,1.0000
