Effect,id,topic,Estimate,StdErrPred,DF,tValue,Probt
Intercept,_,0,-0.01409,0.007216,46E3,-1.95,0.0509
Intercept,3,0,-0.01251,0.01633,46E3,-0.77,0.4434
Intercept,25,0,0.002147,0.01343,46E3,0.16,0.8730
Intercept,51,0,0.01478,0.01357,46E3,1.09,0.2762
Intercept,72,0,0.01067,0.01462,46E3,0.73,0.4655
Intercept,132,0,0.005684,0.01581,46E3,0.36,0.7192
Intercept,134,0,-0.00364,0.01169,46E3,-0.31,0.7555
Intercept,177,0,-0.01643,0.01395,46E3,-1.18,0.2390
Intercept,224,0,0.007093,0.01348,46E3,0.53,0.5988
Intercept,282,0,0.006049,0.01481,46E3,0.41,0.6830
Intercept,287,0,-0.00347,0.01802,46E3,-0.19,0.8474
Intercept,322,0,-0.01631,0.01352,46E3,-1.21,0.2277
Intercept,332,0,-0.02514,0.01707,46E3,-1.47,0.1408
Intercept,338,0,0.000627,0.01364,46E3,0.05,0.9633
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,_,0,0.01947,46E3,0.00,1.0000
Intercept,_,1,-0.00310,0.006478,46E3,-0.48,0.6327
Intercept,44,1,0.003131,0.01502,46E3,0.21,0.8349
Intercept,54,1,-0.01818,0.01297,46E3,-1.40,0.1612
Intercept,82,1,-0.01039,0.01629,46E3,-0.64,0.5236
Intercept,89,1,-0.00090,0.01276,46E3,-0.07,0.9435
Intercept,173,1,0.01547,0.01103,46E3,1.40,0.1605
