,title,location,highest_speaker_count,country,city,specific_location,date,stanza,textblob,vader,subjectivity,Topic,geo_location,point,latitude,longitude,Coordinates,geometry,weighted
0,Prayer_Breakfast_2016,"Washington Hilton, Washington D.C.",0,United States of America,Washington D.C.,Washington Hilton,2016-02-04,0.099,0.178,1.0,0.542,Topic 21,"Washington Hilton, 1919, Connecticut Avenue Northwest, Washington, District of Columbia, 20015, United States","(38.9165229, -77.0452084, 0.0)",38.9165229,-77.0452084,"(-77.0452084, 38.9165229)",POINT (-77.04520840000001 38.9165229),0.542
1,Security_Team_Announcement,"Chicago, Illinois",0,United States of America,Chicago,no_specific_location,2008-12-01,0.14,0.162,0.998,0.403,Topic 10,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212, 0.0)",41.8755616,-87.6244212,"(-87.6244212, 41.8755616)",POINT (-87.6244212 41.8755616),0.40219400000000005
2,Cairo_University,"Cairo, Egypt",0,Egypt,Cairo,no_specific_location,2009-06-04,-0.15,0.11,1.0,0.457,Topic 22,"القاهرة, 11519, مصر","(30.0443879, 31.2357257, 0.0)",30.0443879,31.2357257,"(31.2357257, 30.0443879)",POINT (31.2357257 30.0443879),0.457
3,Umpqua_Community_College_Shootings,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2015-10-01,-0.25,0.061,-0.998,0.435,Topic 7,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),-0.43413
4,White_House_Correspondent_Dinner_2013,"Washington Hilton Hotel, Washington D.C.",0,United States of America,Washington D.C.,Washington Hilton Hotel,2013-04-27,-0.012,0.145,1.0,0.501,Topic 23,"Washington Hilton, 1919, Connecticut Avenue Northwest, Washington, District of Columbia, 20015, United States","(38.9165229, -77.0452084, 0.0)",38.9165229,-77.0452084,"(-77.0452084, 38.9165229)",POINT (-77.04520840000001 38.9165229),0.501
5,Border_Security_and_Immigration_Reform,unknown_location,0,United States of America,Washington D.C.,White House,2014-06-30,-0.177,0.145,0.999,0.436,Topic 18,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.435564
6,Senate_Floor_Immigration_Reform,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2007-05-23,-0.118,0.086,0.998,0.466,Topic 18,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.46506800000000004
7,Holocaust_Days_of_Remembrance,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2009-04-23,-0.075,0.102,0.99,0.525,Topic 21,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.51975
8,UN_Copenhagen_Climate_Change,"Copenhagen, Denmark",0,Denmark,Copenhagen,no_specific_location,2009-12-18,-0.09,0.14,1.0,0.411,Topic 6,"København, Region Hovedstaden, 1357, Danmark","(55.6867243, 12.5700724, 0.0)",55.6867243,12.5700724,"(12.5700724, 55.6867243)",POINT (12.5700724 55.6867243),0.411
9,People_of_Greece,"Stavros Niarchos Foundation Cultural Center, Athens, Greece",0,Greece,Athens,Stavros Niarchos Foundation Cultural Center,2016-11-16,-0.055,0.187,1.0,0.476,Topic 8,"Stavros Niarchos Foundation Cultural Center, Πίσω Αγορά, Τζιτζιφιές, 2η Κοινότητα Καλλιθέας, Δήμος Καλλιθέας, Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 17674, Ελλάς","(37.9406226, 23.6913101, 0.0)",37.9406226,23.6913101,"(23.6913101, 37.9406226)",POINT (23.6913101 37.9406226),0.476
10,India_Speech_at_New_Delhi,"Siri Fort Auditorium, New Delhi, India",0,India,New Delhi,Siri Fort Auditorium,2015-01-27,0.086,0.208,1.0,0.487,Topic 8,,,,,"(nan, nan)",POINT (nan nan),0.487
11,Northern_Ireland_Speech,"Waterfront, Belfast, Northern Ireland",1,Northern Ireland,Belfast,Waterfront,2013-06-17,0.049,0.148,1.0,0.501,Topic 8,"Waterfront, Oxford Street, The Waterfront, Markets, Belfast, County Antrim, Northern Ireland, BT1 3LA, United Kingdom","(54.5972712, -5.9211082, 0.0)",54.5972712,-5.9211082,"(-5.9211082, 54.5972712)",POINT (-5.9211082 54.5972712),0.501
12,Fixing_Immigration_Policy,unknown_location,0,United States of America,Washington D.C.,White House,2014-11-20,-0.13,0.095,1.0,0.429,Topic 18,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.429
13,George_Mason_21st_Century_Economy,"Fairfax, Virginia",0,United States of America,Fairfax,no_specific_location,2009-01-08,-0.286,0.117,0.999,0.444,Topic 19,"Fairfax, Fairfax (city), Virginia, United States","(38.8462236, -77.3063733, 0.0)",38.8462236,-77.3063733,"(-77.3063733, 38.8462236)",POINT (-77.3063733 38.8462236),0.443556
14,Prayer_Breakfast_2014,Washington D.C.,1,United States of America,Washington D.C.,no_specific_location,2014-02-06,0.158,0.233,1.0,0.511,Topic 22,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.511
15,Aurora_Tragedy,"Harborside Event Center, Fort Myers, Florida",0,United States of America,Fort Myers,Harborside Event Center,2012-07-20,0.022,0.131,0.998,0.481,Topic 21,"Harborside Event Center, 1375, Monroe Street, Downtown Fort Myers River District, Fort Myers, Lee County, Florida, 33901, United States","(26.64469215, -81.871826378728, 0.0)",26.64469215,-81.871826378728,"(-81.871826378728, 26.64469215)",POINT (-81.871826378728 26.64469215),0.48003799999999996
16,2004_DNC_Address,"Fleet Center, Boston",0,United States of America,Boston,no_specific_location,2004-07-27,-0.018,0.153,1.0,0.408,Topic 23,,,,,"(nan, nan)",POINT (nan nan),0.408
17,NW_Flight_253_Update,"Kaneohe Bay Marine Base, Kaneohe, Hawaii",0,United States of America,Kaneohe,Kaneohe Bay Marine Base,2009-12-29,-0.054,0.109,0.995,0.461,Topic 10,,,,,"(nan, nan)",POINT (nan nan),0.458695
18,Trade_Trans_Pacific_at_Nike,"Beaverton, Oregon",2,United States of America,Beaverton,no_specific_location,2015-05-08,-0.08,0.172,1.0,0.467,Topic 16,"Beaverton, Washington County, Oregon, United States","(45.4871723, -122.80378, 0.0)",45.4871723,-122.80378,"(-122.80378, 45.4871723)",POINT (-122.80378 45.4871723),0.467
19,Boston_Marathon_Bombing_First_Statement,unknown_location,0,United States of America,Washington D.C.,White House,2013-04-15,0.032,0.165,0.998,0.476,Topic 10,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.47504799999999997
20,Flight_253_Terrorist_Attempt_Press_Statement,"Kailua, Hawaii",0,United States of America,Kailua,no_specific_location,2009-12-28,-0.113,0.161,0.995,0.46,Topic 10,"Kailua, Honolulu County, Hawaii, United States","(21.394833, -157.72989134661873, 0.0)",21.394833,-157.72989134661873,"(-157.72989134661873, 21.394833)",POINT (-157.7298913466187 21.394833),0.4577
21,Joint_Session_on_Economy_and_Jobs,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2011-09-08,-0.179,0.134,1.0,0.438,Topic 2,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.438
