date,Approve,Disapprove
2009-01-27,63.3,20.0
2009-01-28,63.3,20.0
2009-01-29,63.5,19.3
2009-01-30,63.5,19.3
2009-01-31,61.8,19.4
2009-02-01,61.8,19.4
2009-02-02,61.8,19.4
2009-02-03,61.8,19.4
2009-02-04,61.8,19.4
2009-02-05,61.8,19.4
2009-02-06,61.6,21.4
2009-02-07,61.6,21.4
2009-02-08,61.6,21.4
2009-02-09,65.4,22.6
2009-02-10,65.4,22.6
2009-02-11,64.2,23.3
2009-02-12,64.2,23.3
2009-02-13,64.2,23.3
2009-02-14,64.8,25.4
2009-02-15,65.5,25.5
2009-02-16,65.5,25.5
2009-02-17,65.5,25.5
2009-02-18,65.1,25.9
2009-02-19,62.3,28.5
2009-02-20,63.2,28.6
2009-02-21,63.2,28.6
2009-02-22,63.2,28.6
2009-02-23,63.0,27.8
2009-02-24,62.5,27.8
2009-02-25,62.5,27.8
2009-02-26,62.5,27.8
2009-02-27,64.2,27.2
2009-02-28,64.2,27.2
2009-03-01,64.2,27.2
2009-03-02,64.2,27.2
2009-03-03,62.3,27.5
2009-03-04,59.8,28.6
2009-03-05,61.3,28.0
2009-03-06,60.9,27.8
2009-03-07,60.3,28.4
2009-03-08,60.3,28.4
2009-03-09,60.3,28.4
2009-03-10,60.3,28.4
2009-03-11,60.8,28.4
2009-03-12,60.8,30.2
2009-03-13,60.8,30.2
2009-03-14,60.8,30.2
2009-03-15,60.8,30.2
2009-03-16,60.9,30.3
2009-03-17,60.2,31.7
2009-03-18,60.2,31.7
2009-03-19,60.2,31.7
2009-03-20,60.2,31.7
2009-03-21,60.2,31.7
2009-03-22,60.2,31.7
2009-03-23,61.2,30.5
2009-03-24,61.2,30.5
2009-03-25,60.8,30.8
2009-03-26,60.8,30.8
2009-03-27,60.8,30.8
2009-03-28,60.8,30.8
2009-03-29,61.0,30.8
2009-03-30,61.0,30.8
2009-03-31,61.5,32.2
2009-04-01,61.0,32.0
2009-04-02,60.5,32.5
2009-04-03,60.7,31.8
2009-04-04,60.7,31.8
2009-04-05,60.7,31.6
