title,date,stanza,textblob,vader,subjectivity
Prayer_Breakfast_2016,2016-02-04,0.099,0.178,1.0,0.542
Security_Team_Announcement,2008-12-01,0.14,0.162,0.998,0.403
Cairo_University,2009-06-04,-0.15,0.11,1.0,0.457
Umpqua_Community_College_Shootings,2015-10-01,-0.25,0.061,-0.998,0.435
White_House_Correspondent_Dinner_2013,2013-04-27,-0.012,0.145,1.0,0.501
Border_Security_and_Immigration_Reform,2014-06-30,-0.177,0.145,0.999,0.436
Senate_Floor_Immigration_Reform,2007-05-23,-0.118,0.086,0.998,0.466
Holocaust_Days_of_Remembrance,2009-04-23,-0.075,0.102,0.99,0.525
UN_Copenhagen_Climate_Change,2009-12-18,-0.09,0.14,1.0,0.411
People_of_Greece,2016-11-16,-0.055,0.187,1.0,0.476
India_Speech_at_New_Delhi,2015-01-27,0.086,0.208,1.0,0.487
Northern_Ireland_Speech,2013-06-17,0.049,0.148,1.0,0.501
Fixing_Immigration_Policy,2014-11-20,-0.13,0.095,1.0,0.429
George_Mason_21st_Century_Economy,2009-01-08,-0.286,0.117,0.999,0.444
Prayer_Breakfast_2014,2014-02-06,0.158,0.233,1.0,0.511
Aurora_Tragedy,2012-07-20,0.022,0.131,0.998,0.481
2004_DNC_Address,2004-07-27,-0.018,0.153,1.0,0.408
NW_Flight_253_Update,2009-12-29,-0.054,0.109,0.995,0.461
Trade_Trans_Pacific_at_Nike,2015-05-08,-0.08,0.172,1.0,0.467
Boston_Marathon_Bombing_First_Statement,2013-04-15,0.032,0.165,0.998,0.476
Flight_253_Terrorist_Attempt_Press_Statement,2009-12-28,-0.113,0.161,0.995,0.46
Joint_Session_on_Economy_and_Jobs,2011-09-08,-0.179,0.134,1.0,0.438
Announces_Candidacy,2007-02-10,-0.053,0.15,1.0,0.49
Gun_Violence_Exec_Order_23,2013-01-16,-0.233,0.139,-0.992,0.505
Barack_Obama_-_Jefferson-Jackson_Dinner,2007-11-10,-0.305,0.106,0.989,0.402
Fort_Bonifacio,2014-04-29,0.0,0.206,1.0,0.517
State_of_the_Union_2015,2015-01-20,-0.112,0.158,1.0,0.45
USSC_Ruling_Affordable_Care_Act,2012-06-28,-0.125,0.167,1.0,0.499
Senate_Vote_Background_Check,2013-04-17,-0.27,0.06,-0.998,0.393
Comprehensive_Immigration_Reform,2010-07-01,-0.144,0.076,1.0,0.49
Muammar_Qaddafi_Death,2011-10-21,-0.083,0.151,0.998,0.525
Iraq_War_Responsibly_Ending,2011-10-21,0.078,0.194,0.999,0.459
UNGA_2012,2012-09-25,-0.199,0.062,1.0,0.451
MLK_Remembrance,2010-01-17,-0.133,0.091,1.0,0.46
Sequester_Impact_Newport_News,2013-02-26,-0.237,0.122,0.997,0.511
Jewish_American_Heritage_Month,2015-05-22,-0.062,0.182,1.0,0.505
Farewell_Address,2017-01-10,-0.076,0.185,1.0,0.5
Afghanistan_Troop_Reduction,2011-06-22,-0.101,0.106,0.998,0.428
Sandy_Hook_Elementary_School,2012-12-14,-0.182,0.179,0.997,0.502
Newtown_Vigil_Address,2012-12-16,-0.054,0.135,1.0,0.519
