title,main_topic_1_index,main_topic_1_weigth,main_topic_2_index,main_topic_2_weigth,main_topic_3_index,main_topic_3_weigth,main_topic_4_index,main_topic_4_weigth,main_topic_5_index,main_topic_5_weigth,main_topic_6_index,main_topic_6_weigth,main_topic_7_index,main_topic_7_weigth,main_topic_8_index,main_topic_8_weigth,main_topic_9_index,main_topic_9_weigth,main_topic_10_index,main_topic_10_weigth,main_topic_11_index,main_topic_11_weigth,main_topic_12_index,main_topic_12_weigth,main_topic_13_index,main_topic_13_weigth,main_topic_14_index,main_topic_14_weigth,main_topic_15_index,main_topic_15_weigth,main_topic_16_index,main_topic_16_weigth,main_topic_17_index,main_topic_17_weigth,main_topic_18_index,main_topic_18_weigth,main_topic_19_index,main_topic_19_weigth,main_topic_20_index,main_topic_20_weigth,main_topic_21_index,main_topic_21_weigth,main_topic_22_index,main_topic_22_weigth,main_topic_23_index,main_topic_23_weigth,main_topic_24_index,main_topic_24_weigth,main_topic_25_index,main_topic_25_weigth
CGI_2013,4,0.41364244869806366,1,0.032632113517595006,10,0.002403376684091891,19,0.002039285396823799,5,0.0008598319798654873,15,0.0008106266107690005,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Prayer_Breakfast_2016,20,0.2543191703319905,21,0.13874539443627698,0,0.017418105723654678,19,0.011856259805532956,11,0.007069588046950386,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Security_Team_Announcement,9,0.14742630797807685,8,0.09588333619120101,7,0.04684129255216229,10,0.03915738124534947,22,0.0321510520771055,18,0.029354862750754895,2,0.025117014340766453,24,0.022812987044800486,11,0.020806594063785978,5,0.018713941547567167,23,0.016030141094887044,13,0.015735051875666668,19,0.0053315810017896615,17,0.0023036373001242482,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Cairo_University,21,0.4194707866323877,11,0.13660177640347296,7,0.049827558347054775,8,0.03659511830870309,2,0.03389163427787562,14,0.008964055462944378,18,0.005499566651844599,5,0.003950845960395431,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Umpqua_Community_College_Shootings,6,0.2997987460912007,9,0.028849921936287493,20,0.0227824245586038,10,0.008612726270147837,19,0.0009090446162163183,16,0.0006546605267412163,5,0.0006144759894162299,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
White_House_Correspondent_Dinner_2013,22,0.32676881452394063,20,0.03686595417534626,14,0.009118792289270606,21,0.007775701520351962,9,0.007354300154363173,6,0.007058518119686896,24,0.005764403706071445,12,0.00449022288303559,18,0.003805635699285769,5,0.0022578839214608486,17,0.0020505445458099767,19,0.002009245836984429,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Border_Security_and_Immigration_Reform,17,0.36499145344635026,22,0.04018720455651208,18,0.020114150867592762,9,0.018142003573490773,23,0.01305396695600584,6,0.007190499261276026,10,0.005164218001231694,16,0.004911825602227433,19,0.003866691755784156,13,0.0022090769056807525,3,0.0003576950151635966,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Senate_Floor_Immigration_Reform,17,0.347230923903212,20,0.010071098141440294,9,0.005741493884498993,2,0.00367206399546772,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Presser_on_the_Economy_and_Debt_Limit,1,0.33396526499557727,13,0.08391251588869021,8,0.07111063091209405,10,0.05534133301809962,9,0.04492449242580344,17,0.0189553958483658,16,0.01658891799327847,5,0.008554533875617313,2,0.007115760283579394,15,0.006421900793964324,6,0.006180078652355254,22,0.0023671507672558055,12,0.0015705051044276252,19,0.0012899943984501837,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Kennedy_Center_Honorees_2009,22,0.11489323215054542,20,0.09162258964144498,23,0.02272403659241056,14,0.01873586696396907,0,0.008466272074944879,7,0.0047894196429342645,24,0.001409318535883236,11,0.0013142716072273989,8,0.0006070404319523372,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
