title,date,stanza,textblob,vader
Prayer_Breakfast_2016,4 February 2016,0.099,0.178,1.0
Security_Team_Announcement,1 December 2008,0.14,0.162,0.998
Cairo_University,4 June 2009,-0.15,0.11,1.0
Umpqua_Community_College_Shootings,1 October 2015,-0.25,0.061,-0.998
White_House_Correspondent_Dinner_2013,27 April 2013,-0.012,0.145,1.0
Border_Security_and_Immigration_Reform,30 June 2014,-0.177,0.145,0.999
Senate_Floor_Immigration_Reform,23 May 2007,-0.118,0.086,0.998
Holocaust_Days_of_Remembrance,23 April 2009,-0.075,0.102,0.99
UN_Copenhagen_Climate_Change,18 December 2009,-0.09,0.14,1.0
People_of_Greece,16 November 2016,-0.055,0.187,1.0
India_Speech_at_New_Delhi,27 January 2015,0.086,0.208,1.0
Fixing_Immigration_Policy,20 November 2014,-0.13,0.095,1.0
George_Mason_21st_Century_Economy,8 January 2009,-0.286,0.117,0.999
Aurora_Tragedy,20 July 2012,0.022,0.131,0.998
2004_DNC_Address,27 July 2004,-0.018,0.153,1.0
NW_Flight_253_Update,29 December 2009,-0.054,0.109,0.995
Boston_Marathon_Bombing_First_Statement,15 April 2013,0.032,0.165,0.998
Flight_253_Terrorist_Attempt_Press_Statement,28 December 2009,-0.113,0.161,0.995
Joint_Session_on_Economy_and_Jobs,8 September 2011,-0.179,0.134,1.0
Announces_Candidacy,10 February 2007,-0.053,0.15,1.0
Gun_Violence_Exec_Order_23,16 January 2013,-0.233,0.139,-0.992
Barack_Obama_-_Jefferson-Jackson_Dinner,10 November 2007,-0.305,0.106,0.989
Fort_Bonifacio,29 April 2014,0.0,0.206,1.0
State_of_the_Union_2015,20 January 2015,-0.112,0.158,1.0
USSC_Ruling_Affordable_Care_Act,28 June 2012,-0.125,0.167,1.0
Senate_Vote_Background_Check,17 April 2013,-0.27,0.06,-0.998
Comprehensive_Immigration_Reform,1 July 2010,-0.144,0.076,1.0
Muammar_Qaddafi_Death,21 October 2011,-0.083,0.151,0.998
Iraq_War_Responsibly_Ending,21 October 2011,0.078,0.194,0.999
UNGA_2012,25 September 2012,-0.199,0.062,1.0
MLK_Remembrance,17 January 2010,-0.133,0.091,1.0
Sequester_Impact_Newport_News,26 February 2013,-0.237,0.122,0.997
Afghanistan_Troop_Reduction,22 June 2011,-0.101,0.106,0.998
Sandy_Hook_Elementary_School,14 December 2012,-0.182,0.179,0.997
White_House_Correspondents_Dinner_2011,30 April 2011,-0.109,0.152,0.999
Iran_Deal_American_University,5 August 2015,-0.306,0.108,0.999
UNGA_68th_Session,24 September 2013,-0.179,0.057,1.0
Weekly_Address_on_Cuba,20 February 2016,0.107,0.165,0.999
Elena_Kagan_USSC_Nomination,10 May 2010,0.277,0.268,1.0
Joe_Biden_Medal_of_Freedom,12 January 2017,0.148,0.214,1.0
Chile_Latin_America,21 March 2011,0.027,0.176,1.0
State_of_the_Nation_2009,24 February 2009,-0.246,0.101,1.0
BRAIN_Initiative,2 April 2013,-0.011,0.223,1.0
Iraq_War_After_4_Years,21 March 2007,-0.164,0.158,-0.152
Carnegie_Mellon_Economy,2 June 2010,-0.274,0.119,1.0
First_Presidential_Weekly_Address,24 January 2009,-0.267,0.132,0.995
Global_Climate_Message,18 November 2008,-0.128,0.166,0.998
American_Legion_Conference,30 August 2011,-0.014,0.202,1.0
Community_College_Plan,9 January 20105,0.0,0.181,1.0
Civil_Rights_Summit_LBJ,10 April 2014,-0.076,0.117,1.0
State_of_the_Union_2011,25 January 2011,-0.097,0.152,1.0
Rosa_Parks_Statue_Dedication,27 February 2013,-0.17,-0.008,0.965
Burundi_People_Message,13 November 2015,0.034,0.067,0.971
Buchenwald_Concentration_Camp,4 June 2009,-0.148,0.079,0.99
South_Carolina_AME_Church_Shooting,18 June 2015,-0.157,0.145,-0.872
State_of_the_Union_2013,12 February 2013,-0.093,0.153,1.0
Navy_Yard_Shooting_Memorial,22 September 2013,-0.119,0.128,0.999
Yangon_University,19 November 2012,-0.015,0.146,1.0
Benghazi_Attacks_Rose_Garden,12 September 2012,-0.022,0.058,0.987
On_the_Passing_of_Nelson_Mandela,5 December 2013,0.214,0.284,1.0
Iraqi_Freedom_End,31 August 2010,-0.014,0.122,0.995
COP21,30 November 2015,-0.129,0.132,1.0
Senate_Speech_on_Ohio_Electoral_Vote,6 January 2005,-0.208,0.183,0.994
Naval_Academy_Commencement,24 May 2013,0.007,0.158,1.0
Armed_Forces_Farewell,4 January 2017,0.159,0.193,1.0
US_Govt_Shutdown_Statement,2 October 2013,-0.349,0.119,0.999
Energy_Security_AAFB,31 March 2010,-0.011,0.085,1.0
Candidate_Exploratory_Announcement,16 January 2007,-0.231,0.151,0.98
ASU_Commencement,14 May 2009,-0.104,0.162,1.0
Nobel_Lecture,10 December 2009,-0.152,0.075,0.992
Illinois_General_Assembly,10 February 2016,-0.18,0.128,1.0
Congressional_Black_Caucus,19 September 2015,-0.097,0.189,1.0
